ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-05T01:26:02-06:00,kind-cluster,4,4,4,4,46,50,187,example1-85d5f7658d-6z5fm=40m; example1-85d5f7658d-h5kfg=48m; example1-85d5f7658d-m8mf2=59m; example1-85d5f7658d-xw996=40m,34.000,example1-85d5f7658d-6z5fm=8.000Mi; example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=9.000Mi; example1-85d5f7658d-xw996=9.000Mi,2026-02-05T07:25:42Z
2026-02-05T01:26:03-06:00,kind-cluster,4,4,4,4,46,50,187,example1-85d5f7658d-6z5fm=40m; example1-85d5f7658d-h5kfg=48m; example1-85d5f7658d-m8mf2=59m; example1-85d5f7658d-xw996=40m,34.000,example1-85d5f7658d-6z5fm=8.000Mi; example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=9.000Mi; example1-85d5f7658d-xw996=9.000Mi,2026-02-05T07:25:42Z
2026-02-05T01:26:04-06:00,kind-cluster,4,4,4,4,46,50,187,example1-85d5f7658d-6z5fm=40m; example1-85d5f7658d-h5kfg=48m; example1-85d5f7658d-m8mf2=59m; example1-85d5f7658d-xw996=40m,34.000,example1-85d5f7658d-6z5fm=8.000Mi; example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=9.000Mi; example1-85d5f7658d-xw996=9.000Mi,2026-02-05T07:25:42Z
2026-02-05T01:26:05-06:00,kind-cluster,4,4,4,4,46,50,187,example1-85d5f7658d-6z5fm=40m; example1-85d5f7658d-h5kfg=48m; example1-85d5f7658d-m8mf2=59m; example1-85d5f7658d-xw996=40m,34.000,example1-85d5f7658d-6z5fm=8.000Mi; example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=9.000Mi; example1-85d5f7658d-xw996=9.000Mi,2026-02-05T07:25:42Z
2026-02-05T01:26:06-06:00,kind-cluster,4,4,4,4,46,50,93,example1-85d5f7658d-6z5fm=40m; example1-85d5f7658d-h5kfg=0m; example1-85d5f7658d-m8mf2=13m; example1-85d5f7658d-xw996=40m,33.000,example1-85d5f7658d-6z5fm=8.000Mi; example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=8.000Mi; example1-85d5f7658d-xw996=9.000Mi,2026-02-05T07:25:42Z
2026-02-05T01:26:08-06:00,kind-cluster,2,2,4,2,23,50,13,example1-85d5f7658d-h5kfg=0m; example1-85d5f7658d-m8mf2=13m,16.000,example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=8.000Mi,2026-02-05T07:26:07Z
2026-02-05T01:26:09-06:00,kind-cluster,2,2,4,2,23,50,13,example1-85d5f7658d-h5kfg=0m; example1-85d5f7658d-m8mf2=13m,16.000,example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=8.000Mi,2026-02-05T07:26:07Z
2026-02-05T01:26:10-06:00,kind-cluster,2,2,4,2,23,50,13,example1-85d5f7658d-h5kfg=0m; example1-85d5f7658d-m8mf2=13m,16.000,example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=8.000Mi,2026-02-05T07:26:07Z
2026-02-05T01:26:11-06:00,kind-cluster,2,2,4,2,23,50,13,example1-85d5f7658d-h5kfg=0m; example1-85d5f7658d-m8mf2=13m,16.000,example1-85d5f7658d-h5kfg=8.000Mi; example1-85d5f7658d-m8mf2=8.000Mi,2026-02-05T07:26:07Z
2026-02-05T01:26:12-06:00,kind-cluster,1,1,2,1,6,50,13,example1-85d5f7658d-m8mf2=13m,8.000,example1-85d5f7658d-m8mf2=8.000Mi,2026-02-05T07:26:12Z
