ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T01:10:24-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:25-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:26-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:28-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:29-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:30-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:31-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:32-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:33-06:00,kind-cluster,1,1,1,1,1,50,1,cpu-nginx-74476f8d7f-zr58z=1m,24.000,cpu-nginx-74476f8d7f-zr58z=24.000Mi,2026-02-06T07:07:33Z
2026-02-06T01:10:35-06:00,kind-cluster,1,1,1,1,1,50,174,cpu-nginx-74476f8d7f-zr58z=174m,26.000,cpu-nginx-74476f8d7f-zr58z=26.000Mi,2026-02-06T07:07:33Z
