ts,context,dep_replicas,dep_ready,hpa_current,hpa_desired,cpu_cur_util,cpu_target_util,pods_cpu_m_sum,pods_cpu_m_list,pods_mem_mi_sum,pods_mem_mi_list,lastScaleTime
2026-02-06T03:36:52-06:00,kind-cluster,3,3,3,3,49,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:53-06:00,kind-cluster,3,3,3,3,49,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:54-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:55-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:56-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:58-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:36:59-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:37:00-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:37:01-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:37:02-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
2026-02-06T03:37:03-06:00,kind-cluster,3,3,3,3,47,50,141,cpu-nginx-74476f8d7f-bdr2z=47m; cpu-nginx-74476f8d7f-pb9bn=48m; cpu-nginx-74476f8d7f-zr58z=46m,66.000,cpu-nginx-74476f8d7f-bdr2z=20.000Mi; cpu-nginx-74476f8d7f-pb9bn=21.000Mi; cpu-nginx-74476f8d7f-zr58z=25.000Mi,2026-02-06T09:34:38Z
